,First,Last,Name,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,weightclass
80,Jessica,Eye,Jessica Eye,Evil,"5' 6""",125 lbs.,"66.0""",Orthodox,15,9,0,,#N/A
0,,, ,,,,,,,,,,#N/A
1,Edward,Faaloloto,Edward Faaloloto,,--,155 lbs.,"70.0""",,2,5,0,,#N/A
2,Urijah,Faber,Urijah Faber,The California Kid,"5' 6""",135 lbs.,"67.0""",Orthodox,35,11,0,,#N/A
3,Melinda,Fabian,Melinda Fabian,,"5' 6""",125 lbs.,"66.0""",,4,4,2,,#N/A
4,Wagnney,Fabiano,Wagnney Fabiano,The Silencer,"5' 6""",145 lbs.,"69.0""",Southpaw,16,4,0,,#N/A
5,Bartosz,Fabinski,Bartosz Fabinski,The Butcher,"6' 0""",170 lbs.,"75.0""",Orthodox,15,5,0,,#N/A
6,Ron,Faircloth,Ron Faircloth,,"5' 9""",205 lbs.,--,Orthodox,33,20,0,,#N/A
7,Jason,Fairn,Jason Fairn,,"6' 1""",230 lbs.,--,,4,5,0,,#N/A
8,Zarah,Fairn,Zarah Fairn,Infinite,"5' 8""",135 lbs.,"72.0""",Orthodox,6,4,0,,#N/A
9,Rinat,Fakhretdinov,Rinat Fakhretdinov,Gladiator,"6' 0""",185 lbs.,--,,18,1,0,,#N/A
10,Maiquel,Falcao,Maiquel Falcao,Big Rig,"5' 11""",185 lbs.,--,Orthodox,37,10,0,,#N/A
11,Brodie,Farber,Brodie Farber,,"6' 1""",170 lbs.,--,Orthodox,16,7,0,,#N/A
12,Joao Paulo,Faria,Joao Paulo Faria,,"5' 9""",155 lbs.,--,,1,1,0,,#N/A
13,Kalindra,Faria,Kalindra Faria,,"5' 7""",125 lbs.,--,Switch,18,8,1,,#N/A
14,Chance,Farrar,Chance Farrar,,"5' 9""",145 lbs.,--,Southpaw,8,3,0,,#N/A
15,Rico,Farrington,Rico Farrington,The Triggerman,"6' 4""",170 lbs.,"79.0""",Southpaw,7,3,0,,#N/A
16,Kelly,Faszholz,Kelly Faszholz,,"5' 8""",135 lbs.,--,Orthodox,4,2,0,,#N/A
17,Rodney,Faverus,Rodney Faverus,,"6' 0""",215 lbs.,--,Southpaw,25,20,3,,#N/A
18,Paul,Felder,Paul Felder,The Irish Dragon,"5' 11""",155 lbs.,"70.0""",Orthodox,17,6,0,,#N/A
19,Carlos,Felipe,Carlos Felipe,Boi,"6' 0""",245 lbs.,"75.0""",Orthodox,10,1,0,,#N/A
20,JP,Felty,JP Felty,,--,170 lbs.,--,,4,5,0,,#N/A
21,Kevin,Ferguson,Kevin Ferguson,Kimbo Slice,"6' 2""",235 lbs.,"77.0""",Orthodox,5,2,0,,#N/A
22,Rhadi,Ferguson,Rhadi Ferguson,,"5' 7""",205 lbs.,--,,3,0,0,,#N/A
23,Tony,Ferguson,Tony Ferguson,El Cucuy,"5' 11""",155 lbs.,"76.0""",Orthodox,26,6,0,,#N/A
24,Josh,Ferguson,Josh Ferguson,Taz,"5' 5""",125 lbs.,--,Orthodox,10,5,0,,#N/A
25,CJ,Fernandes,CJ Fernandes,,"6' 2""",170 lbs.,--,,14,8,3,,#N/A
26,Bibiano,Fernandes,Bibiano Fernandes,,"5' 7""",139 lbs.,--,Orthodox,20,3,0,,#N/A
27,Alexandre,Ferreira,Alexandre Ferreira,Cacareco,"5' 7""",205 lbs.,--,Orthodox,18,6,0,,#N/A
28,Cezar,Ferreira,Cezar Ferreira,Mutante,"6' 1""",185 lbs.,"78.0""",Southpaw,13,8,0,,#N/A
29,Diego,Ferreira,Diego Ferreira,,"5' 9""",155 lbs.,"74.0""",Orthodox,17,4,0,,#N/A
30,Scott,Ferrozzo,Scott Ferrozzo,The Pitbull,"5' 11""",323 lbs.,--,Orthodox,4,2,0,,#N/A
31,Timo,Feucht,Timo Feucht,,"6' 3""",205 lbs.,"79.0""",Orthodox,8,1,0,,#N/A
32,Drew,Fickett,Drew Fickett,The Master,"5' 10""",155 lbs.,"70.0""",Orthodox,42,21,0,,#N/A
33,Scott,Fiedler,Scott Fiedler,,"6' 4""",235 lbs.,--,Orthodox,0,1,0,,#N/A
34,Ron,Fields,Ron Fields,Killing,"6' 2""",200 lbs.,--,Orthodox,28,32,1,,#N/A
35,Deiveson,Figueiredo,Deiveson Figueiredo,Deus da Guerra,"5' 5""",125 lbs.,"68.0""",Orthodox,20,1,1,,#N/A
36,Francisco,Figueiredo,Francisco Figueiredo,Sniper,"5' 6""",135 lbs.,"69.0""",Southpaw,12,3,1,,#N/A
37,Anthony,Figueroa,Anthony Figueroa,,"5' 4""",135 lbs.,--,Orthodox,11,8,1,,#N/A
38,Edwin,Figueroa,Edwin Figueroa,El Feroz,"5' 7""",135 lbs.,"69.0""",Orthodox,9,5,0,,#N/A
39,Paulo,Filho,Paulo Filho,,"5' 8""",185 lbs.,--,Southpaw,23,6,3,,#N/A
40,Andre,Fili,Andre Fili,Touchy,"5' 11""",145 lbs.,"74.0""",Orthodox,21,8,0,,#N/A
41,Mirko,Filipovic,Mirko Filipovic,Cro Cop,"6' 2""",230 lbs.,"73.0""",Southpaw,35,11,2,,#N/A
42,Brady,Fink,Brady Fink,,"6' 0""",183 lbs.,--,Orthodox,2,3,0,,#N/A
43,Jesse,Finney,Jesse Finney,,"6' 0""",170 lbs.,--,,5,1,0,,#N/A
44,Jan,Finney,Jan Finney,Cuddles,"5' 8""",135 lbs.,--,Orthodox,11,12,0,,#N/A
45,Luigi,Fioravanti,Luigi Fioravanti,,"5' 8""",170 lbs.,"70.0""",Orthodox,26,15,0,,#N/A
46,Manon,Fiorot,Manon Fiorot,The Beast,"5' 7""",125 lbs.,--,Orthodox,6,1,0,,#N/A
47,Luiz,Firmino,Luiz Firmino,Buscape,"5' 6""",154 lbs.,--,Orthodox,19,8,0,,#N/A
48,Spencer,Fisher,Spencer Fisher,The King,"5' 7""",155 lbs.,"68.0""",Southpaw,24,9,0,,#N/A
49,Chris,Fishgold,Chris Fishgold,,"5' 8""",145 lbs.,"68.0""",Orthodox,18,4,1,,#N/A
50,Bryanna,Fissori,Bryanna Fissori,,"5' 4""",145 lbs.,--,,2,4,0,,#N/A
51,Jon,Fitch,Jon Fitch,,"6' 0""",170 lbs.,"74.0""",Orthodox,30,7,1,,#N/A
52,Isi,Fitikefu,Isi Fitikefu,Doxz,"5' 10""",205 lbs.,--,,6,0,0,,#N/A
53,Rafael,Fiziev,Rafael Fiziev,Ataman,"5' 8""",155 lbs.,"71.0""",Switch,9,1,0,,#N/A
54,Colin,Fletcher,Colin Fletcher,The Freakshow,"6' 2""",155 lbs.,--,Orthodox,14,8,0,,#N/A
55,AJ,Fletcher,AJ Fletcher,The Ghost,"5' 9""",170 lbs.,--,,7,0,0,,#N/A
56,Jimmy,Flick,Jimmy Flick,The Brick,"5' 7""",125 lbs.,"68.0""",Orthodox,16,5,0,,#N/A
57,Luke,Flores,Luke Flores,,"6' 0""",155 lbs.,"73.0""",Southpaw,9,2,0,,#N/A
58,Ty,Flores,Ty Flores,Big Medicine,"6' 3""",205 lbs.,"73.0""",Switch,7,3,0,,#N/A
59,Alejandro,Flores,Alejandro Flores,El Gallito,"5' 10""",145 lbs.,"73.0""",Orthodox,17,3,0,,#N/A
60,Kenny,Florian,Kenny Florian,KenFlo,"5' 10""",145 lbs.,"74.0""",Southpaw,14,6,0,,#N/A
61,Cody,Floyd,Cody Floyd,,--,--,--,,2,0,0,,#N/A
62,Bobby,Flynn,Bobby Flynn,,--,170 lbs.,--,,6,4,0,,#N/A
63,Caros,Fodor,Caros Fodor,The Future,"5' 9""",155 lbs.,"74.0""",Orthodox,11,6,0,,#N/A
64,Mal,Foki,Mal Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,5,0,,#N/A
65,Matt,Foki,Matt Foki,Twin Tiger,"5' 7""",220 lbs.,--,Orthodox,5,4,0,,#N/A
66,AJ,Fonseca,AJ Fonseca,,"5' 4""",145 lbs.,--,,5,4,0,,#N/A
67,Rob,Font,Rob Font,,"5' 8""",135 lbs.,"71.0""",Orthodox,18,4,0,,#N/A
68,Claudionor,Fontinelle,Claudionor Fontinelle,,"5' 5""",185 lbs.,--,Orthodox,10,15,1,,#N/A
69,Jesse,Forbes,Jesse Forbes,Kid Hercules,"6' 2""",185 lbs.,"75.0""",Southpaw,15,5,0,,#N/A
70,Sterling,Ford,Sterling Ford,,"5' 10""",155 lbs.,--,,15,7,0,,#N/A
71,Codale,Ford,Codale Ford,Crunch Time,"5' 9""",170 lbs.,--,,11,9,0,,#N/A
72,Jussier,Formiga,Jussier Formiga,,"5' 5""",125 lbs.,"67.0""",Orthodox,23,8,0,,#N/A
73,Renee,Forte,Renee Forte,,"5' 7""",155 lbs.,"71.0""",Orthodox,8,4,0,,#N/A
74,Marcel,Fortuna,Marcel Fortuna,,"6' 1""",205 lbs.,"74.0""",Orthodox,9,3,0,,#N/A
75,Brian,Foster,Brian Foster,The Foster Boy,"5' 9""",170 lbs.,"71.0""",Orthodox,27,10,0,,#N/A
76,Xavier,Foupa-Pokam,Xavier Foupa-Pokam,Professor X,"6' 1""",185 lbs.,--,Open Stance,32,22,0,,#N/A
77,Mason,Fowler,Mason Fowler,,"5' 11""",170 lbs.,--,,2,0,0,,#N/A
78,Brandon,Foxworth,Brandon Foxworth,,"5' 11""",145 lbs.,--,Orthodox,18,4,0,,#N/A
79,Hermes,Franca,Hermes Franca,,"5' 6""",155 lbs.,"71.0""",Orthodox,24,17,0,,#N/A
80,Glaico,Franca Moreira,Glaico Franca Moreira,Nego,"6' 0""",155 lbs.,"77.0""",Orthodox,15,5,0,,#N/A
81,Francisco,France,Francisco France,Kiko,"6' 0""",205 lbs.,--,,13,5,1,,#N/A
82,John,Franchi,John Franchi,,"5' 6""",145 lbs.,"67.0""",Orthodox,6,2,0,,#N/A
83,Rich,Franklin,Rich Franklin,Ace,"6' 1""",185 lbs.,"76.0""",Southpaw,29,7,0,,#N/A
84,Zoila,Frausto,Zoila Frausto,Warrior Princess,"5' 4""",135 lbs.,--,Orthodox,13,5,0,,#N/A
85,Stephanie,Frausto,Stephanie Frausto,Lil Bovy,"5' 2""",115 lbs.,"61.0""",Orthodox,8,7,0,,#N/A
86,Zane,Frazier,Zane Frazier,Nasty,"6' 5""",250 lbs.,--,Orthodox,4,11,0,,#N/A
87,Gary,Frazier,Gary Frazier,,"6' 0""",245 lbs.,--,Orthodox,3,3,0,,#N/A
88,Justin,Frazier,Justin Frazier,The Grizzly Bear,"6' 0""",265 lbs.,"75.0""",Southpaw,10,3,0,,#N/A
89,Ian,Freeman,Ian Freeman,The Machine,"5' 11""",225 lbs.,--,Orthodox,20,7,1,,#N/A
90,Jason,Freeman,Jason Freeman,,"6' 2""",225 lbs.,--,,6,4,0,,#N/A
91,Willamy,Freire,Willamy Freire,Chiquerim,"5' 8""",155 lbs.,--,,26,6,0,,#N/A
92,Patricio,Freire,Patricio Freire,Pitbull,"5' 5""",145 lbs.,"65.0""",,26,4,0,,#N/A
93,Patricky,Freire,Patricky Freire,Pitbull,"5' 7""",155 lbs.,"71.0""",,17,8,0,,#N/A
94,Jeremy,Freitag,Jeremy Freitag,,"6' 1""",205 lbs.,--,,6,10,0,,#N/A
95,Rafael,Freitas,Rafael Freitas,Capoeira,--,205 lbs.,--,Orthodox,3,6,0,,#N/A
96,Donavon,Frelow,Donavon Frelow,,"5' 7""",135 lbs.,--,Orthodox,6,3,0,,#N/A
97,Clay,French,Clay French,,"5' 7""",161 lbs.,--,Southpaw,19,7,0,,#N/A
98,Mike,French,Mike French,,"5' 10""",145 lbs.,--,,9,10,0,,#N/A
99,Matt,Frevola,Matt Frevola,The SteamRolla,"5' 9""",155 lbs.,"71.0""",Orthodox,8,2,1,,#N/A
100,Jinh Yu,Frey,Jinh Yu Frey,,"5' 3""",115 lbs.,"65.0""",Southpaw,10,6,0,,#N/A
101,Artem,Frolov,Artem Frolov,,"5' 10""",185 lbs.,--,,11,0,0,,#N/A
102,Sarah,Frota,Sarah Frota,A Treta,"5' 6""",125 lbs.,"69.0""",Southpaw,9,2,0,,#N/A
103,Don,Frye,Don Frye,The Predator,"6' 1""",219 lbs.,--,Orthodox,20,9,1,,#N/A
104,Tony,Fryklund,Tony Fryklund,The Freak,"6' 0""",185 lbs.,--,Orthodox,14,9,1,,#N/A
105,Jesse,Fujarczyk,Jesse Fujarczyk,The Ronin,"6' 4""",225 lbs.,--,Southpaw,2,2,0,,#N/A
106,Katsuhisa,Fujii,Katsuhisa Fujii,Shamoji,"6' 0""",205 lbs.,--,Orthodox,9,18,1,,#N/A
107,Megumi,Fujii,Megumi Fujii,Mega Megu,"5' 3""",113 lbs.,--,,26,3,0,,#N/A
108,Kazuyuki,Fujita,Kazuyuki Fujita,Ironhead,"6' 0""",235 lbs.,--,Orthodox,15,12,0,,#N/A
109,Keisuke,Fujiwara,Keisuke Fujiwara,,"5' 6""",139 lbs.,--,Switch,17,12,5,,#N/A
110,Riki,Fukuda,Riki Fukuda,,"6' 0""",185 lbs.,"73.0""",Southpaw,24,9,0,,#N/A
111,Masio,Fullen,Masio Fullen,Lobo,"5' 10""",145 lbs.,"70.0""",Orthodox,11,7,0,,#N/A
112,Travis,Fulton,Travis Fulton,The Ironman,"6' 0""",240 lbs.,--,Orthodox,253,53,10,,#N/A
113,Sam,Fulton,Sam Fulton,,--,--,--,,0,2,0,,#N/A
114,Masakatsu,Funaki,Masakatsu Funaki,,"6' 0""",185 lbs.,--,Southpaw,39,13,2,,#N/A
115,Ricardo,Funch,Ricardo Funch,Golden Boy,"5' 10""",170 lbs.,"74.0""",Southpaw,9,6,0,,#N/A
116,Katsuaki,Furuki,Katsuaki Furuki,,"6' 0""",168 lbs.,--,,1,1,0,,#N/A
0,,, ,,,,,,,,,,#N/A
1,James,Gabert,James Gabert,,--,178 lbs.,--,,6,4,0,,#N/A
2,Gustavo,Gabriel,Gustavo Gabriel,,"5' 6""",125 lbs.,--,Orthodox,13,1,0,,#N/A
3,Claudia,Gadelha,Claudia Gadelha,Claudinha,"5' 4""",115 lbs.,"63.0""",Orthodox,18,5,0,,#N/A
4,Alavutdin,Gadjiev,Alavutdin Gadjiev,,"6' 2""",185 lbs.,--,Orthodox,18,13,1,,#N/A
5,Justin,Gaethje,Justin Gaethje,The Highlight,"5' 11""",155 lbs.,"70.0""",Orthodox,22,3,0,,#N/A
6,Sheila,Gaff,Sheila Gaff,The German Tank,"5' 5""",135 lbs.,--,Orthodox,9,7,0,,#N/A
7,Muin,Gafurov,Muin Gafurov,Tajik,"5' 7""",135 lbs.,--,,16,2,0,,#N/A
8,Mitch,Gagnon,Mitch Gagnon,,"5' 5""",135 lbs.,"65.0""",Southpaw,12,5,0,,#N/A
9,Brandon,Gaines,Brandon Gaines,,"6' 3""",185 lbs.,--,,5,21,0,,#N/A
10,Travis,Galbraith,Travis Galbraith,The Gladiator,"6' 0""",170 lbs.,--,Orthodox,18,7,0,,#N/A
11,Dave,Galera,Dave Galera,Scarecrow,"5' 11""",135 lbs.,--,Orthodox,5,1,0,,#N/A
12,Zelg,Galesic,Zelg Galesic,Benkei,"6' 2""",185 lbs.,--,Orthodox,11,9,0,,#N/A
13,Mickey,Gall,Mickey Gall,,"6' 2""",170 lbs.,"74.0""",Switch,6,3,0,,#N/A
14,Daniel,Gallemore,Daniel Gallemore,Big Kansas,"6' 5""",265 lbs.,--,,7,3,0,,#N/A
15,Tom,Gallicchio,Tom Gallicchio,Da Tank,"5' 10""",170 lbs.,--,Southpaw,19,10,0,,#N/A
16,Turrell,Galloway,Turrell Galloway,,"5' 3""",145 lbs.,--,,8,6,0,,#N/A
17,Eric,Galvan,Eric Galvan,,--,155 lbs.,--,,0,0,0,,#N/A
18,Andre,Galvao,Andre Galvao,,"5' 7""",168 lbs.,--,Orthodox,5,2,0,,#N/A
19,Marcos,Galvao,Marcos Galvao,Loro,"5' 7""",135 lbs.,--,Orthodox,18,8,1,,#N/A
20,Lucas,Gamaza,Lucas Gamaza,,--,170 lbs.,--,,8,4,0,,#N/A
21,Joey,Gambino,Joey Gambino,The Raging Warrior,"5' 7""",145 lbs.,--,Orthodox,9,2,0,,#N/A
22,Manvel,Gamburyan,Manvel Gamburyan,The Anvil,"5' 5""",135 lbs.,"67.0""",Orthodox,15,10,0,,#N/A
23,Mateusz,Gamrot,Mateusz Gamrot,Gamer,"5' 10""",155 lbs.,"70.0""",Southpaw,18,1,0,,#N/A
24,Shamil,Gamzatov,Shamil Gamzatov,,"6' 2""",205 lbs.,"76.0""",Orthodox,14,0,0,,#N/A
25,Ariel,Gandulla,Ariel Gandulla,,"5' 11""",205 lbs.,--,Orthodox,7,9,0,,#N/A
26,Ciryl,Gane,Ciryl Gane,Bon Gamin,"6' 4""",245 lbs.,"81.0""",Orthodox,8,0,0,,#N/A
27,Sean,Gannon,Sean Gannon,The Cannon,"6' 3""",265 lbs.,--,Southpaw,2,1,0,,#N/A
28,Eduardo,Garagorri,Eduardo Garagorri,,"5' 9""",145 lbs.,"70.0""",Orthodox,13,2,0,,#N/A
29,Cody,Garbrandt,Cody Garbrandt,No Love,"5' 8""",135 lbs.,"65.0""",Orthodox,12,3,0,,#N/A
30,Leonard,Garcia,Leonard Garcia,Bad Boy,"5' 10""",145 lbs.,"68.0""",Orthodox,18,13,1,,#N/A
31,Edgar,Garcia,Edgar Garcia,,"5' 10""",170 lbs.,"71.0""",Orthodox,14,5,0,,#N/A
32,Alejandro,Garcia,Alejandro Garcia,Alex,"5' 7""",145 lbs.,--,,14,10,0,,#N/A
33,Alex,Garcia,Alex Garcia,The Dominican Nightmare,"5' 9""",170 lbs.,"72.0""",Orthodox,15,6,0,,#N/A
34,Nick,Garcia,Nick Garcia,Nitro,"5' 4""",125 lbs.,--,,8,3,0,,#N/A
35,Steve,Garcia,Steve Garcia,Mean Machine,"6' 0""",155 lbs.,"75.0""",Southpaw,11,4,0,,#N/A
36,Elias,Garcia,Elias Garcia,,"5' 5""",125 lbs.,"67.0""",Southpaw,6,2,0,,#N/A
37,Rafa,Garcia,Rafa Garcia,Gifted,"5' 7""",155 lbs.,"70.0""",Orthodox,12,1,0,,#N/A
38,Rulon,Gardner,Rulon Gardner,,"6' 3""",265 lbs.,--,Orthodox,1,0,0,,#N/A
39,David,Gardner,David Gardner,,"5' 11""",155 lbs.,--,Orthodox,18,21,0,,#N/A
40,Pablo,Garza,Pablo Garza,The Scarecrow,"6' 1""",145 lbs.,"73.0""",Orthodox,12,4,0,,#N/A
41,Azamat,Gashimov,Azamat Gashimov,,"5' 6""",125 lbs.,--,Orthodox,8,3,0,,#N/A
42,Brian,Gassaway,Brian Gassaway,,"6' 1""",170 lbs.,--,Orthodox,29,20,2,,#N/A
43,Kelvin,Gastelum,Kelvin Gastelum,,"5' 9""",185 lbs.,"71.0""",Southpaw,17,7,0,,#N/A
44,Willie,Gates,Willie Gates,,"5' 8""",125 lbs.,"72.0""",Orthodox,12,7,0,,#N/A
45,Melissa,Gatto,Melissa Gatto,,"5' 5""",135 lbs.,--,Orthodox,6,0,2,,#N/A
46,Louis,Gaudinot,Louis Gaudinot,Goodnight,"5' 3""",125 lbs.,"63.0""",Orthodox,8,4,0,,#N/A
47,Charlene,Gellner,Charlene Gellner,Princess,"5' 2""",125 lbs.,--,,0,4,0,,#N/A
48,Chad,George,Chad George,Savage,"5' 6""",135 lbs.,"68.0""",Southpaw,16,8,0,,#N/A
49,Paul,Georgieff,Paul Georgieff,,"6' 2""",170 lbs.,--,Orthodox,6,2,0,,#N/A
50,Brian,Geraghty,Brian Geraghty,Duke,"5' 7""",155 lbs.,--,Orthodox,26,18,1,,#N/A
51,Derek,Getzel,Derek Getzel,The Pretzel,"6' 0""",155 lbs.,--,,8,5,0,,#N/A
52,Karine,Gevorgyan,Karine Gevorgyan,The Princess,"5' 4""",125 lbs.,"63.0""",,3,3,0,,#N/A
53,Darrel,Gholar,Darrel Gholar,,"5' 8""",194 lbs.,--,Orthodox,5,6,0,,#N/A
54,Tiki,Ghosn,Tiki Ghosn,,"5' 10""",170 lbs.,--,Orthodox,10,7,1,,#N/A
55,Christos,Giagos,Christos Giagos,The Spartan,"5' 10""",155 lbs.,"71.0""",Orthodox,19,8,0,,#N/A
56,Joe,Giannetti,Joe Giannetti,,"6' 0""",155 lbs.,"74.0""",Southpaw,6,1,0,,#N/A
57,Nick,Gibbons,Nick Gibbons,,"5' 10""",155 lbs.,--,,2,1,0,,#N/A
58,James,Giboo,James Giboo,,"5' 11""",170 lbs.,--,Orthodox,13,5,0,,#N/A
59,Lance,Gibson,Lance Gibson,Fearless,"5' 9""",185 lbs.,--,Orthodox,4,5,0,,#N/A
60,Lee,Gibson,Lee Gibson,Lethal,"5' 7""",155 lbs.,--,,12,4,0,,#N/A
61,Cody,Gibson,Cody Gibson,The Renegade,"5' 10""",135 lbs.,"71.0""",Orthodox,15,7,0,,#N/A
62,Chase,Gibson,Chase Gibson,El Guero,"5' 10""",155 lbs.,"72.0""",Orthodox,9,5,0,,#N/A
63,Kenny,Giddens,Kenny Giddens,,"5' 11""",155 lbs.,--,,12,7,0,,#N/A
64,Thomas,Gifford,Thomas Gifford,The Young Lion,"6' 1""",155 lbs.,"75.0""",Orthodox,14,9,0,,#N/A
65,Joseph,Gigliotti,Joseph Gigliotti,Capo,"5' 11""",185 lbs.,--,Orthodox,7,2,0,,#N/A
66,Joey,Gilbert,Joey Gilbert,,"5' 11""",155 lbs.,--,Orthodox,2,3,0,,#N/A
67,Trevin,Giles,Trevin Giles,,"6' 0""",185 lbs.,"74.0""",Orthodox,14,2,0,,#N/A
68,Kultar,Gill,Kultar Gill,Black Mamba,"6' 0""",154 lbs.,--,Orthodox,12,8,0,,#N/A
69,Jesse,Gillespie,Jesse Gillespie,,--,185 lbs.,--,,3,2,0,,#N/A
70,Gregor,Gillespie,Gregor Gillespie,The Gift,"5' 7""",155 lbs.,"71.0""",Orthodox,14,1,0,,#N/A
71,Jason,Gilliam,Jason Gilliam,,"6' 0""",170 lbs.,--,Orthodox,14,9,0,,#N/A
72,Krishaun,Gilmore,Krishaun Gilmore,,--,--,--,,0,1,0,,#N/A
73,Alex,Gilpin,Alex Gilpin,,"5' 7""",145 lbs.,--,Orthodox,11,1,0,,#N/A
74,Bob,Gilstrap,Bob Gilstrap,,"6' 3""",200 lbs.,--,Orthodox,5,7,0,,#N/A
75,Demetrius,Gioulacos,Demetrius Gioulacos,,"5' 11""",185 lbs.,--,,0,1,0,,#N/A
76,Billy,Giovanella,Billy Giovanella,Wolverine,"5' 8""",125 lbs.,--,,9,5,0,,#N/A
77,He-Man,Gipson,He-Man Gipson,,--,--,--,,1,2,0,,#N/A
78,Israel,Giron,Israel Giron,El Rojo,"5' 8""",155 lbs.,--,,19,5,0,,#N/A
79,Brandon,Girtz,Brandon Girtz,Cold Roll,"5' 7""",155 lbs.,--,,14,7,0,,#N/A
80,Jason,Glaza,Jason Glaza,,"6' 0""",230 lbs.,--,,3,2,0,,#N/A
81,Mike,Glenn,Mike Glenn,,--,205 lbs.,--,,5,6,0,,#N/A
82,Rick,Glenn,Rick Glenn,The Gladiator,"6' 0""",145 lbs.,"70.0""",Southpaw,21,6,1,,#N/A
83,Mark,Godbeer,Mark Godbeer,The Hand Of,"6' 4""",240 lbs.,"77.0""",Orthodox,13,4,0,,#N/A
84,Clint,Godfrey,Clint Godfrey,,"5' 6""",135 lbs.,--,Southpaw,13,3,0,,#N/A
85,Loopy,Godinez,Loopy Godinez,,"5' 2""",115 lbs.,"61.0""",Orthodox,5,1,0,,#N/A
86,Jason,Godsey,Jason Godsey,,"6' 2""",230 lbs.,--,Orthodox,16,16,0,,#N/A
87,Allan,Goes,Allan Goes,,"6' 0""",205 lbs.,--,Orthodox,10,5,2,,#N/A
88,Jonny,Goh,Jonny Goh,,"5' 11""",155 lbs.,--,,3,4,0,,#N/A
89,Hannah,Goldy,Hannah Goldy,24K,"5' 4""",125 lbs.,"61.0""",Orthodox,5,1,0,,#N/A
90,Marcelo,Golm,Marcelo Golm,,"6' 3""",249 lbs.,"75.0""",Orthodox,6,3,0,,#N/A
91,Sergio,Gomez,Sergio Gomez,,"5' 6""",155 lbs.,--,Orthodox,10,3,0,,#N/A
92,Frank,Gomez,Frank Gomez,,"5' 10""",135 lbs.,"67.0""",Orthodox,10,6,0,,#N/A
93,Alan,Gomez,Alan Gomez,,--,155 lbs.,--,,2,0,0,,#N/A
94,David,Gomez,David Gomez,,--,155 lbs.,--,,1,2,0,,#N/A
95,Ulysses,Gomez,Ulysses Gomez,Useless,"5' 6""",125 lbs.,--,Orthodox,9,5,0,,#N/A
96,Joey,Gomez,Joey Gomez,KO King,"5' 10""",135 lbs.,"73.0""",Orthodox,6,2,0,,#N/A
97,Luis,Gomez,Luis Gomez,Tiger Junior,"5' 7""",145 lbs.,"68.0""",Orthodox,4,1,0,,#N/A
98,Joey,Gomez,Joey Gomez,,"5' 10""",155 lbs.,"71.0""",Orthodox,7,1,0,,#N/A
99,Edson,Gomez,Edson Gomez,,"5' 8""",170 lbs.,"69.0""",Switch,6,2,0,,#N/A
100,Silvana,Gomez Juarez,Silvana Gomez Juarez,La Malvada,"5' 3""",125 lbs.,--,Orthodox,6,2,0,,#N/A
101,Takanori,Gomi,Takanori Gomi,The Fireball Kid,"5' 7""",155 lbs.,"70.0""",Southpaw,35,14,0,,#N/A
102,Akihiro,Gono,Akihiro Gono,,"5' 7""",170 lbs.,"68.0""",Switch,35,21,8,,#N/A
103,Gabriel,Gonzaga,Gabriel Gonzaga,Napao,"6' 2""",242 lbs.,"76.0""",Orthodox,17,11,0,,#N/A
104,Justin,Gonzales,Justin Gonzales,J-Train,"5' 9""",145 lbs.,"72.0""",Orthodox,6,0,0,,#N/A
105,Fernando,Gonzalez,Fernando Gonzalez,The Menifee Maniac,"5' 9""",170 lbs.,"68.0""",Southpaw,26,14,0,,#N/A
106,Nick,Gonzalez,Nick Gonzalez,The Ghost,"5' 6""",155 lbs.,--,Orthodox,17,12,0,,#N/A
107,Fabian,Gonzalez,Fabian Gonzalez,,"5' 10""",135 lbs.,--,,2,1,0,,#N/A
108,Lewis,Gonzalez,Lewis Gonzalez,Lethal,"5' 10""",170 lbs.,--,Orthodox,11,3,0,,#N/A
109,Jason,Gonzalez,Jason Gonzalez,Nicoya,"6' 2""",155 lbs.,"74.0""",Southpaw,11,5,0,,#N/A
110,Pearl,Gonzalez,Pearl Gonzalez,,"5' 4""",115 lbs.,--,Orthodox,6,3,0,,#N/A
111,Jorge,Gonzalez,Jorge Gonzalez,Street,"6' 2""",205 lbs.,"76.0""",Orthodox,16,4,0,,#N/A
112,Mikey,Gonzalez,Mikey Gonzalez,Rolls,"5' 11""",155 lbs.,"74.0""",Orthodox,7,2,0,,#N/A
113,Kier,Gooch,Kier Gooch,,--,155 lbs.,--,,2,7,0,,#N/A
114,Lyman,Good,Lyman Good,Cyborg,"6' 0""",170 lbs.,"74.0""",Orthodox,21,6,0,,#N/A
115,Jared,Gooden,Jared Gooden,NiteTrain,"6' 0""",170 lbs.,"77.0""",Orthodox,17,6,0,,#N/A
116,Gary,Goodridge,Gary Goodridge,Big Daddy,"6' 3""",249 lbs.,--,Orthodox,23,22,1,,#N/A
117,Jordan,Goodwin,Jordan Goodwin,,--,155 lbs.,--,,0,0,0,,#N/A
118,Gerard,Gordeau,Gerard Gordeau,,"6' 5""",216 lbs.,--,Orthodox,2,2,0,,#N/A
119,Eddie,Gordon,Eddie Gordon,Truck,"6' 0""",185 lbs.,"76.0""",Orthodox,8,4,0,,#N/A
120,Jared,Gordon,Jared Gordon,Flash,"5' 9""",145 lbs.,"68.0""",Orthodox,17,4,0,,#N/A
